id,platform,contest,year,severity,title,pattern_category,url,description
1,C4,2021-11-malt,2021,Medium,Dutch auction can be manipulated,auction_termination,https://github.com/code-423n4/2021-11-malt-findings/issues/375,"Attacker prevents _endAuction() by committing maxCommitments-1 wei; buys at average price"
2,C4,2022-05-cally,2022,High,Inefficiency in Dutch Auction due to lower duration,price_curve,https://github.com/code-423n4/2022-05-cally-findings/issues/138,"Quadratic price curve doesn't reach reserve price until full duration; assets stolen"
3,C4,2022-05-runes,2022,Medium,Governance can refuse to refund Dutch Auction participants,admin_abuse,https://github.com/code-423n4/2022-05-runes-findings/issues/266,"setFinalPrice() lets governance block refunds after incomplete auction"
4,C4,2022-05-runes,2022,Medium,Users may overpay because finalPrice must be manually set,price_setting,https://github.com/code-423n4/2022-05-runes-findings/issues/274,"Manual price setting after incomplete auction causes user overpayment"
5,C4,2022-12-escher,2022,High,LPDA price underflow due to bad settings bricks contract,arithmetic_underflow,https://github.com/code-423n4/2022-12-escher-findings/issues/392,"elapsed*dropPerSecond > startPrice causes underflow in Dutch auction price"
6,C4,2022-12-escher,2022,Medium,NFTs mintable after auction deadline expires,missing_deadline,https://github.com/code-423n4/2022-12-escher-findings/issues/474,"endtime variable not validated; purchases allowed after deadline"
7,C4,2023-06-stader,2023,Medium,No bidder incentive except last-minute MEV due to fixed endBlock,MEV_timing,https://github.com/code-423n4/2023-06-stader-findings/issues/70,"Fixed end block means rational bidders wait until last moment for MEV"
8,C4,2023-10-nextgen,2023,High,Malicious auction winner can lock losing bidder funds,callback_abuse,https://github.com/code-423n4/2023-10-nextgen-findings/issues/242,"Winner callback locks funds of other auction participants"
9,C4,2023-10-nextgen,2023,High,Reentrancy in safeMint allows arbitrary NFT minting,callback_reentrancy,https://github.com/code-423n4/2023-10-nextgen-findings/issues/1318,"_safemint callback before state update enables reentrancy"
10,C4,2023-11-canto,2023,Medium,No slippage protection for Market functions,missing_slippage,https://github.com/code-423n4/2023-11-canto-findings/issues/12,"buy()/sell() have no minAmountOut/maxAmountIn parameter"
11,C4,2023-12-revolution,2023,Medium,Missing slippage and deadline in VRGDA buyToken(),missing_slippage,https://github.com/code-423n4/2023-12-revolutionprotocol-findings/issues/91,"VRGDA buy function lacks slippage/deadline protection"
12,C4,2023-12-revolution,2023,High,Last bidder wins by force-sending ETH via selfdestruct,force_send,https://github.com/code-423n4/2023-12-revolutionprotocol-findings/issues/462,"selfdestruct sends ETH to bypass auction bid logic"
13,C4,2023-12-revolution,2023,Medium,Bidder uses donations to get token from ended auction,donation_attack,https://github.com/code-423n4/2023-12-revolutionprotocol-findings/issues/515,"Direct token transfer to auction contract exploits balance-based logic"
14,C4,2023-12-ethcreditguild,2023,High,creditMultiplier updates prevent bidding on pre-existing auctions,state_change_blocks_bid,https://github.com/code-423n4/2023-12-ethereumcreditguild-findings/issues/298,"External state change (bad debt) makes existing auctions unbiddable"
15,C4,2023-12-ethcreditguild,2023,High,Bad debt forces other loans in auction to create bad debt,cascading_failure,https://github.com/code-423n4/2023-12-ethereumcreditguild-findings/issues/476,"One auction failure cascades to others via shared creditMultiplier"
16,C4,2023-12-ethcreditguild,2023,Medium,bid() DOS via underflow in second auction phase,arithmetic_underflow,https://github.com/code-423n4/2023-12-ethereumcreditguild-findings/issues/1210,"creditMultiplier change causes underflow in bid calculation"
17,C4,2023-12-ethcreditguild,2023,Medium,Auction manipulation via block stuffing and ERC-777 hooks,erc777_reentrancy,https://github.com/code-423n4/2023-12-ethereumcreditguild-findings/issues/685,"ERC-777 transfer hooks + block stuffing manipulate auction timing"
18,C4,2024-07-reserve,2024,Medium,Dutch auctions fail to settle due to unexpected collateral revert,external_revert_blocks,https://github.com/code-423n4/2024-07-reserve-findings/issues/32,"One collateral revert in try-catch blocks all auction settlements"
19,C4,2022-07-yield,2022,Medium,Liquidators can bid even if vault overcollateralized,stale_eligibility,https://github.com/code-423n4/2022-07-yield-findings/issues/91,"Auction continues when underlying condition no longer holds"
20,C4,2024-04-noya,2024,Medium,Same heartbeat for multiple price feeds causes DOS or staleness,shared_oracle_config,https://github.com/code-423n4/2024-04-noya-findings/issues/917,"Single heartbeat for multiple feeds: too tight = DOS too loose = stale"
21,C4,2024-04-renzo,2024,Medium,Fixed heartbeat too stale for some tokens,shared_oracle_config,https://github.com/code-423n4/2024-04-renzo-findings/issues/563,"Hard-coded stale period inappropriate for different update frequencies"
22,C4,2024-04-renzo,2024,Medium,RenzoOracle uses same heartbeat for all feeds,shared_oracle_config,https://github.com/code-423n4/2024-04-renzo-findings/issues/472,"Single time interval fails to accommodate different feed heartbeats"
23,C4,2023-11-kelp,2023,Medium,Chainlink Oracle uses excessively long heartbeat,oracle_heartbeat,https://github.com/code-423n4/2023-11-kelp-findings/issues/191,"24h heartbeat + 2% deviation allows stale prices for extended periods"
24,C4,2024-03-dittoeth,2024,Medium,oracleCircuitBreaker not checking if price is stale,missing_staleness_check,https://github.com/code-423n4/2024-03-dittoeth-findings/issues/164,"Circuit breaker fails to validate price freshness"
25,C4,2024-04-noya,2024,Medium,Stale price used in getValueFromChainlinkFeed,missing_staleness_check,https://github.com/code-423n4/2024-04-noya-findings/issues/1501,"No staleness validation on Chainlink latestRoundData"
